rule_index,name,description,rule,severity,mitre_attack_id,annotations,cluster,keywords
e0,Web Application Suspicious Activity: POST Request Declined,"A POST request to a web application returned a 403 response, which indicates the web application declined to process the
request because the action requested was not allowed.
","http.response.status_code:403 and http.request.method:post
",medium,,,180.0,"['403', 'declined', 'response', 'request', 'post']"
e1,Web Application Suspicious Activity: Unauthorized Method,"A request to a web application returned a 405 response, which indicates the web application declined to process the
request because the HTTP method is not allowed for the resource.
","http.response.status_code:405
",medium,,,180.0,"['405', 'http', 'response', 'request', 'declined']"
e2,Web Application Suspicious Activity: sqlmap User Agent,"This is an example of how to detect an unwanted web client user agent. This search matches the user agent for sqlmap
1.3.11, which is a popular FOSS tool for testing web applications for SQL injection vulnerabilities.
","user_agent.original:""sqlmap/1.3.11#stable (http://sqlmap.org)""
",medium,,{'sqlmap'},,"['sqlmap', 'detect', 'sql', 'injection', 'testing']"
e3,Potential Cookies Theft via Browser Debugging,"Identifies the execution of a Chromium based browser with the debugging process argument, which may indicate an attempt
to steal authentication cookies. An adversary may steal web application or service session cookies and use them to gain
access web applications or Internet services as an authenticated user without needing credentials.
","process where event.type in (""start"", ""process_started"", ""info"") and
  process.name in (
             ""Microsoft Edge"",
             ""chrome.exe"",
             ""Google Chrome"",
             ""google-chrome-stable"",
             ""google-chrome-beta"",
             ""google-chrome"",
             ""msedge.exe"") and
   process.args : (""--remote-debugging-port=*"",
                   ""--remote-debugging-targets=*"",
                   ""--remote-debugging-pipe=*"") and
   process.args : ""--user-data-dir=*"" and not process.args:""--remote-debugging-port=0""
",medium,['T1539'],{'browser'},181.0,"['chromium', 'browser', 'authentication', 'cookies', 'debugging']"
e4,Agent Spoofing - Mismatched Agent ID,"Detects events that have a mismatch on the expected event agent ID. The status ""agent_id_mismatch""
occurs when the expected agent ID associated with the API key does not match the actual agent ID in an event. This could
indicate attempts to spoof events in order to masquerade actual activity to evade detection.
","event.agent_id_status:agent_id_mismatch
",high,['T1036'],{'agent spoofing'},182.0,"['agent_id_mismatch', 'agent', 'spoof', 'api', 'mismatch']"
e5,Agent Spoofing - Multiple Hosts Using Same Agent,"Detects when multiple hosts are using the same agent ID. This could occur in the event of an agent
being taken over and used to inject illegitimate documents into an instance as an attempt to spoof events in order to
masquerade actual activity to evade detection.
","event.agent_id_status:*
",high,['T1036'],{'agent spoofing'},182.0,"['hosts', 'spoof', 'agent', 'detection', 'detects']"
e6,WebServer Access Logs Deleted,"Identifies the deletion of WebServer access logs. This may indicate an attempt to evade detection or destroy forensic
evidence on a system.
","file where event.type == ""deletion"" and
  file.path : (""C:\\inetpub\\logs\\LogFiles\\*.log"",
               ""/var/log/apache*/access.log"",
               ""/etc/httpd/logs/access_log"",
               ""/var/log/httpd/access_log"",
               ""/var/www/*/logs/access.log"")
",medium,['T1070'],{'forensic'},85.0,"['logs', 'webserver', 'forensic', 'detection', 'deletion']"
e7,Tampering of Bash Command-Line History,"Adversaries may attempt to clear or disable the Bash command-line history in an attempt to evade detection or forensic
investigations.
","process where event.type in (""start"", ""process_started"") and
 (
  ((process.args : (""rm"", ""echo"") or
    (process.args : ""ln"" and process.args : ""-sf"" and process.args : ""/dev/null"") or
    (process.args : ""truncate"" and process.args : ""-s0""))
    and process.args : ("".bash_history"", ""/root/.bash_history"", ""/home/*/.bash_history"",""/Users/.bash_history"", ""/Users/*/.bash_history"",
                        "".zsh_history"", ""/root/.zsh_history"", ""/home/*/.zsh_history"", ""/Users/.zsh_history"", ""/Users/*/.zsh_history"")) or
  (process.name : ""history"" and process.args : ""-c"") or
  (process.args : ""export"" and process.args : (""HISTFILE=/dev/null"", ""HISTFILESIZE=0"")) or
  (process.args : ""unset"" and process.args : ""HISTFILE"") or
  (process.args : ""set"" and process.args : ""history"" and process.args : ""+o"")
 )
",medium,['T1070'],{'forensic'},183.0,"['bash', 'adversaries', 'command', 'investigations', 'forensic']"
e8,Elastic Agent Service Terminated,"Identifies the Elastic endpoint agent has stopped and is no longer running on the host. Adversaries may attempt to
disable security monitoring tools in an attempt to evade detection or prevention capabilities during an intrusion. This
may also indicate an issue with the agent itself and should be addressed to ensure defensive measures are back in a
stable state.
","process where
/* net, sc or wmic stopping or deleting Elastic Agent on Windows */
(event.type == ""start"" and
  process.name : (""net.exe"", ""sc.exe"", ""wmic.exe"",""powershell.exe"",""taskkill.exe"",""PsKill.exe"",""ProcessHacker.exe"") and
  process.args : (""stopservice"",""uninstall"", ""stop"", ""disabled"",""Stop-Process"",""terminate"",""suspend"") and
  process.args : (""elasticendpoint"", ""Elastic Agent"",""elastic-agent"",""elastic-endpoint""))
or
/* service or systemctl used to stop Elastic Agent on Linux */
(event.type == ""end"" and
  (process.name : (""systemctl"", ""service"") and
    process.args : ""elastic-agent"" and
    process.args : ""stop"")
  or
  /* Unload Elastic Agent extension on MacOS */
  (process.name : ""kextunload"" and
    process.args : ""com.apple.iokit.EndpointSecurity"" and
    event.action : ""end""))
",medium,['T1562'],"{'net.exe', 'stop'}",2.0,"['adversaries', 'elastic', 'intrusion', 'endpoint', 'agent']"
e9,Timestomping using Touch Command,"Timestomping is an anti-forensics technique which is used to modify the timestamps of a file, often to mimic files that
are in the same folder.
","process where event.type == ""start"" and
 process.name : ""touch"" and user.id != ""0"" and
 process.args : (""-r"", ""-t"", ""-a*"",""-m*"") and
 not process.args : (""/usr/lib/go-*/bin/go"", ""/usr/lib/dracut/dracut-functions.sh"", ""/tmp/KSInstallAction.*/m/.patch/*"")
",medium,['T1070'],"{'forensic', 'timestomping'}",121.0,"['timestomping', 'timestamps', 'forensics', 'files', 'file']"
