rule_index,metadata.creation_date,metadata.maturity,metadata.min_stack_comments,metadata.min_stack_version,metadata.updated_date,rule.author,rule.description,rule.false_positives,rule.index,rule.language,rule.license,rule.name,rule.references,rule.risk_score,rule.rule_id,rule.severity,rule.tags,rule.timestamp_override,rule.type,rule.query,rule.from,rule.max_signals,rule.note,rule.threat,rule.threshold,rule.timeline_id,rule.timeline_title,rule.interval,rule.threat_index,rule.threat_indicator_path,rule.threat_language,rule.threat_query,rule.threat_filters,rule.threat_mapping,rule.anomaly_threshold,rule.machine_learning_job_id,rule.rule_name_override,rule.risk_score_mapping,rule.severity_mapping,metadata.query_schema_validation,metadata.deprecation_date,rule.filters,metadata.integration
0,2020/02/18,production,"New fields added: required_fields, related_integrations, setup",8.3.0,2022/08/24,['Elastic'],"A POST request to a web application returned a 403 response, which indicates the web application declined to process the
request because the action requested was not allowed.
","['    Security scans and tests may result in these errors. Misconfigured or buggy applications may produce large numbers\n    of these errors. If the source is unexpected, the user unauthorized, or the request unusual, these may indicate\n    suspicious or malicious activity.\n    ']","['apm-*-transaction*', 'traces-apm*']",kuery,Elastic License v2,Web Application Suspicious Activity: POST Request Declined,['https://en.wikipedia.org/wiki/HTTP_403'],47,a87a4e42-1d82-44bd-b0bf-d9b7f91fb89e,medium,"['Elastic', 'APM']",event.ingested,query,"http.response.status_code:403 and http.request.method:post
",,,,,,,,,,,,,,,,,,,,,,,
1,2020/02/18,production,"New fields added: required_fields, related_integrations, setup",8.3.0,2022/08/24,['Elastic'],"A request to a web application returned a 405 response, which indicates the web application declined to process the
request because the HTTP method is not allowed for the resource.
","['    Security scans and tests may result in these errors. Misconfigured or buggy applications may produce large numbers\n    of these errors. If the source is unexpected, the user unauthorized, or the request unusual, these may indicate\n    suspicious or malicious activity.\n    ']","['apm-*-transaction*', 'traces-apm*']",kuery,Elastic License v2,Web Application Suspicious Activity: Unauthorized Method,['https://en.wikipedia.org/wiki/HTTP_405'],47,75ee75d8-c180-481c-ba88-ee50129a6aef,medium,"['Elastic', 'APM']",event.ingested,query,"http.response.status_code:405
",,,,,,,,,,,,,,,,,,,,,,,
2,2020/02/18,production,"New fields added: required_fields, related_integrations, setup",8.3.0,2022/08/24,['Elastic'],"This is an example of how to detect an unwanted web client user agent. This search matches the user agent for sqlmap
1.3.11, which is a popular FOSS tool for testing web applications for SQL injection vulnerabilities.
","['    This rule does not indicate that a SQL injection attack occurred, only that the `sqlmap` tool was used. Security\n    scans and tests may result in these errors. If the source is not an authorized security tester, this is generally\n    suspicious or malicious activity.\n    ']","['apm-*-transaction*', 'traces-apm*']",kuery,Elastic License v2,Web Application Suspicious Activity: sqlmap User Agent,['http://sqlmap.org/'],47,d49cc73f-7a16-4def-89ce-9fc7127d7820,medium,"['Elastic', 'APM']",event.ingested,query,"user_agent.original:""sqlmap/1.3.11#stable (http://sqlmap.org)""
",,,,,,,,,,,,,,,,,,,,,,,
3,2020/12/21,production,"New fields added: required_fields, related_integrations, setup",8.3.0,2022/08/24,['Elastic'],"Identifies the execution of a Chromium based browser with the debugging process argument, which may indicate an attempt
to steal authentication cookies. An adversary may steal web application or service session cookies and use them to gain
access web applications or Internet services as an authenticated user without needing credentials.
",['Developers performing browsers plugin or extension debugging.'],"['auditbeat-*', 'winlogbeat-*', 'logs-endpoint.events.*', 'logs-windows.*']",eql,Elastic License v2,Potential Cookies Theft via Browser Debugging,"['https://github.com/defaultnamehere/cookie_crimes', 'https://embracethered.com/blog/posts/2020/cookie-crimes-on-mirosoft-edge/', 'https://github.com/rapid7/metasploit-framework/blob/master/documentation/modules/post/multi/gather/chrome_cookies.md', 'https://posts.specterops.io/hands-in-the-cookie-jar-dumping-cookies-with-chromiums-remote-debugger-port-34c4f468844e']",47,027ff9ea-85e7-42e3-99d2-bbb7069e02eb,medium,"['Elastic', 'Host', 'Linux', 'Windows', 'macOS', 'Threat Detection', 'Credential Access']",event.ingested,eql,"process where event.type in (""start"", ""process_started"", ""info"") and
  process.name in (
             ""Microsoft Edge"",
             ""chrome.exe"",
             ""Google Chrome"",
             ""google-chrome-stable"",
             ""google-chrome-beta"",
             ""google-chrome"",
             ""msedge.exe"") and
   process.args : (""--remote-debugging-port=*"",
                   ""--remote-debugging-targets=*"",
                   ""--remote-debugging-pipe=*"") and
   process.args : ""--user-data-dir=*"" and not process.args:""--remote-debugging-port=0""
",now-9m,33.0,"## Setup

If enabling an EQL rule on a non-elastic-agent index (such as beats) for versions <8.2, events will not define `event.ingested` and default fallback for EQL rules was not added until 8.2, so you will need to add a custom pipeline to populate `event.ingested` to @timestamp for this rule to work.
","[{'framework': 'MITRE ATT&CK', 'technique': [{'id': 'T1539', 'name': 'Steal Web Session Cookie', 'reference': 'https://attack.mitre.org/techniques/T1539/'}], 'tactic': {'id': 'TA0006', 'name': 'Credential Access', 'reference': 'https://attack.mitre.org/tactics/TA0006/'}}]",,,,,,,,,,,,,,,,,,,
4,2021/07/14,production,"New fields added: required_fields, related_integrations, setup",8.3.0,2022/08/24,['Elastic'],"Detects events that have a mismatch on the expected event agent ID. The status ""agent_id_mismatch""
occurs when the expected agent ID associated with the API key does not match the actual agent ID in an event. This could
indicate attempts to spoof events in order to masquerade actual activity to evade detection.
","['    This is meant to run only on datasources using Elastic Agent 7.14+ since versions prior to that will be missing the\n    necessary field, resulting in false positives.\n    ']","['logs-*', 'metrics-*', 'traces-*']",kuery,Elastic License v2,Agent Spoofing - Mismatched Agent ID,,73,3115bd2c-0baa-4df0-80ea-45e474b5ef93,high,"['Elastic', 'Threat Detection', 'Defense Evasion']",event.ingested,query,"event.agent_id_status:agent_id_mismatch
",now-9m,,,"[{'framework': 'MITRE ATT&CK', 'technique': [{'id': 'T1036', 'name': 'Masquerading', 'reference': 'https://attack.mitre.org/techniques/T1036/'}], 'tactic': {'id': 'TA0005', 'name': 'Defense Evasion', 'reference': 'https://attack.mitre.org/tactics/TA0005/'}}]",,,,,,,,,,,,,,,,,,,
5,2021/07/14,production,"New fields added: required_fields, related_integrations, setup",8.3.0,2022/08/24,['Elastic'],"Detects when multiple hosts are using the same agent ID. This could occur in the event of an agent
being taken over and used to inject illegitimate documents into an instance as an attempt to spoof events in order to
masquerade actual activity to evade detection.
","['    This is meant to run only on datasources using Elastic Agent 7.14+ since versions prior to that will be missing the\n    necessary field, resulting in false positives.\n    ']","['logs-*', 'metrics-*', 'traces-*']",kuery,Elastic License v2,Agent Spoofing - Multiple Hosts Using Same Agent,,73,493834ca-f861-414c-8602-150d5505b777,high,"['Elastic', 'Threat Detection', 'Defense Evasion']",event.ingested,threshold,"event.agent_id_status:*
",now-9m,,,"[{'framework': 'MITRE ATT&CK', 'technique': [{'id': 'T1036', 'name': 'Masquerading', 'reference': 'https://attack.mitre.org/techniques/T1036/'}], 'tactic': {'id': 'TA0005', 'name': 'Defense Evasion', 'reference': 'https://attack.mitre.org/tactics/TA0005/'}}]","{'field': ['agent.id'], 'value': 2, 'cardinality': [{'field': 'host.id', 'value': 2}]}",,,,,,,,,,,,,,,,,,
6,2020/11/03,production,"New fields added: required_fields, related_integrations, setup",8.3.0,2022/08/24,['Elastic'],"Identifies the deletion of WebServer access logs. This may indicate an attempt to evade detection or destroy forensic
evidence on a system.
",,"['auditbeat-*', 'winlogbeat-*', 'logs-endpoint.events.*', 'logs-windows.*']",eql,Elastic License v2,WebServer Access Logs Deleted,,47,665e7a4f-c58e-4fc6-bc83-87a7572670ac,medium,"['Elastic', 'Host', 'Linux', 'Windows', 'macOS', 'Threat Detection', 'Defense Evasion']",event.ingested,eql,"file where event.type == ""deletion"" and
  file.path : (""C:\\inetpub\\logs\\LogFiles\\*.log"",
               ""/var/log/apache*/access.log"",
               ""/etc/httpd/logs/access_log"",
               ""/var/log/httpd/access_log"",
               ""/var/www/*/logs/access.log"")
",now-9m,,"## Setup

If enabling an EQL rule on a non-elastic-agent index (such as beats) for versions <8.2, events will not define `event.ingested` and default fallback for EQL rules was not added until 8.2, so you will need to add a custom pipeline to populate `event.ingested` to @timestamp for this rule to work.
","[{'framework': 'MITRE ATT&CK', 'technique': [{'id': 'T1070', 'name': 'Indicator Removal on Host', 'reference': 'https://attack.mitre.org/techniques/T1070/'}], 'tactic': {'id': 'TA0005', 'name': 'Defense Evasion', 'reference': 'https://attack.mitre.org/tactics/TA0005/'}}]",,,,,,,,,,,,,,,,,,,
7,2020/05/04,production,"New fields added: required_fields, related_integrations, setup",8.3.0,2022/08/24,['Elastic'],"Adversaries may attempt to clear or disable the Bash command-line history in an attempt to evade detection or forensic
investigations.
",,"['auditbeat-*', 'logs-endpoint.events.*']",eql,Elastic License v2,Tampering of Bash Command-Line History,,47,7bcbb3ac-e533-41ad-a612-d6c3bf666aba,medium,"['Elastic', 'Host', 'Linux', 'macOS', 'Threat Detection', 'Defense Evasion']",event.ingested,eql,"process where event.type in (""start"", ""process_started"") and
 (
  ((process.args : (""rm"", ""echo"") or
    (process.args : ""ln"" and process.args : ""-sf"" and process.args : ""/dev/null"") or
    (process.args : ""truncate"" and process.args : ""-s0""))
    and process.args : ("".bash_history"", ""/root/.bash_history"", ""/home/*/.bash_history"",""/Users/.bash_history"", ""/Users/*/.bash_history"",
                        "".zsh_history"", ""/root/.zsh_history"", ""/home/*/.zsh_history"", ""/Users/.zsh_history"", ""/Users/*/.zsh_history"")) or
  (process.name : ""history"" and process.args : ""-c"") or
  (process.args : ""export"" and process.args : (""HISTFILE=/dev/null"", ""HISTFILESIZE=0"")) or
  (process.args : ""unset"" and process.args : ""HISTFILE"") or
  (process.args : ""set"" and process.args : ""history"" and process.args : ""+o"")
 )
",now-9m,,"## Setup

If enabling an EQL rule on a non-elastic-agent index (such as beats) for versions <8.2, events will not define `event.ingested` and default fallback for EQL rules was not added until 8.2, so you will need to add a custom pipeline to populate `event.ingested` to @timestamp for this rule to work.
","[{'framework': 'MITRE ATT&CK', 'technique': [{'id': 'T1070', 'name': 'Indicator Removal on Host', 'reference': 'https://attack.mitre.org/techniques/T1070/', 'subtechnique': [{'id': 'T1070.003', 'name': 'Clear Command History', 'reference': 'https://attack.mitre.org/techniques/T1070/003/'}]}], 'tactic': {'id': 'TA0005', 'name': 'Defense Evasion', 'reference': 'https://attack.mitre.org/tactics/TA0005/'}}]",,,,,,,,,,,,,,,,,,,
8,2022/05/23,production,"New fields added: required_fields, related_integrations, setup",8.3.0,2022/08/24,['Elastic'],"Identifies the Elastic endpoint agent has stopped and is no longer running on the host. Adversaries may attempt to
disable security monitoring tools in an attempt to evade detection or prevention capabilities during an intrusion. This
may also indicate an issue with the agent itself and should be addressed to ensure defensive measures are back in a
stable state.
",,['logs-*'],eql,Elastic License v2,Elastic Agent Service Terminated,,47,b627cd12-dac4-11ec-9582-f661ea17fbcd,medium,"['Elastic', 'Host', 'Linux', 'Windows', 'macOS', 'Threat Detection', 'Defense Evasion']",event.ingested,eql,"process where
/* net, sc or wmic stopping or deleting Elastic Agent on Windows */
(event.type == ""start"" and
  process.name : (""net.exe"", ""sc.exe"", ""wmic.exe"",""powershell.exe"",""taskkill.exe"",""PsKill.exe"",""ProcessHacker.exe"") and
  process.args : (""stopservice"",""uninstall"", ""stop"", ""disabled"",""Stop-Process"",""terminate"",""suspend"") and
  process.args : (""elasticendpoint"", ""Elastic Agent"",""elastic-agent"",""elastic-endpoint""))
or
/* service or systemctl used to stop Elastic Agent on Linux */
(event.type == ""end"" and
  (process.name : (""systemctl"", ""service"") and
    process.args : ""elastic-agent"" and
    process.args : ""stop"")
  or
  /* Unload Elastic Agent extension on MacOS */
  (process.name : ""kextunload"" and
    process.args : ""com.apple.iokit.EndpointSecurity"" and
    event.action : ""end""))
",now-9m,,"## Setup

If enabling an EQL rule on a non-elastic-agent index (such as beats) for versions <8.2, events will not define `event.ingested` and default fallback for EQL rules was not added until 8.2, so you will need to add a custom pipeline to populate `event.ingested` to @timestamp for this rule to work.
","[{'framework': 'MITRE ATT&CK', 'technique': [{'id': 'T1562', 'name': 'Impair Defenses', 'reference': 'https://attack.mitre.org/techniques/T1562/', 'subtechnique': [{'id': 'T1562.001', 'name': 'Disable or Modify Tools', 'reference': 'https://attack.mitre.org/techniques/T1562/001/'}]}], 'tactic': {'id': 'TA0005', 'name': 'Defense Evasion', 'reference': 'https://attack.mitre.org/tactics/TA0005/'}}]",,,,,,,,,,,,,,,,,,,
9,2020/11/03,production,"New fields added: required_fields, related_integrations, setup",8.3.0,2022/08/24,['Elastic'],"Timestomping is an anti-forensics technique which is used to modify the timestamps of a file, often to mimic files that
are in the same folder.
",,"['auditbeat-*', 'logs-endpoint.events.*']",eql,Elastic License v2,Timestomping using Touch Command,,47,b0046934-486e-462f-9487-0d4cf9e429c6,medium,"['Elastic', 'Host', 'Linux', 'macOS', 'Threat Detection', 'Defense Evasion']",event.ingested,eql,"process where event.type == ""start"" and
 process.name : ""touch"" and user.id != ""0"" and
 process.args : (""-r"", ""-t"", ""-a*"",""-m*"") and
 not process.args : (""/usr/lib/go-*/bin/go"", ""/usr/lib/dracut/dracut-functions.sh"", ""/tmp/KSInstallAction.*/m/.patch/*"")
",now-9m,33.0,"## Setup

If enabling an EQL rule on a non-elastic-agent index (such as beats) for versions <8.2, events will not define `event.ingested` and default fallback for EQL rules was not added until 8.2, so you will need to add a custom pipeline to populate `event.ingested` to @timestamp for this rule to work.
","[{'framework': 'MITRE ATT&CK', 'technique': [{'id': 'T1070', 'name': 'Indicator Removal on Host', 'reference': 'https://attack.mitre.org/techniques/T1070/', 'subtechnique': [{'id': 'T1070.006', 'name': 'Timestomp', 'reference': 'https://attack.mitre.org/techniques/T1070/006/'}]}], 'tactic': {'id': 'TA0005', 'name': 'Defense Evasion', 'reference': 'https://attack.mitre.org/tactics/TA0005/'}}]",,,,,,,,,,,,,,,,,,,
