group,e,s,total
admin@338,[],[],0
Ajax Security Team,[],[],0
ALLANITE,[],[],0
Andariel,[],[],0
Aoqin Dragon,[],[],0
APT-C-36,[],[],0
APT1,[176],[],1
APT12,[],[],0
APT16,[],[],0
APT17,[],[],0
APT18,[],[],0
APT19,[176],[],1
APT28,[],[],0
APT29,[176],[],2
APT3,[176],[],3
APT30,[],[],0
APT32,[176],[],1
APT33,[],[],0
APT37,[],[],0
APT38,[],[],0
APT39,[],[],0
APT41,[176],[],1
Aquatic Panda,[],[],0
Axiom,[],[],0
BackdoorDiplomacy,[],[],0
BITTER,[],[],0
BlackOasis,[],[],0
BlackTech,[],[],0
Blue Mockingbird,[],[],0
Bouncing Golf,[],[],0
BRONZE BUTLER,[],[],0
Carbanak,[],[],0
Chimera,[],[],0
Cleaver,[],[],0
Cobalt Group,[176],[],1
Confucius,[],[],0
CopyKittens,[176],[],1
Dark Caracal,[],[],0
Darkhotel,[],[],0
DarkHydrus,[176],[],1
DarkVishnya,[],[],0
Deep Panda,[],[],0
Dragonfly,[],[658],1
DragonOK,[],[],0
Earth Lusca,[],[],0
Elderwood,[],[],0
Ember Bear,[],[],0
Equation,[],[],2
Evilnum,[],[],0
EXOTIC LILY,[],[],0
Ferocious Kitten,[],[],0
FIN10,[],[],0
FIN4,[],[],0
FIN5,[],[],0
FIN6,"[176, 341]",[795],3
FIN7,"[175, 177, 178, 179]","[223, 227, 423, 541, 542, 556, 557, 559, 569, 786, 934, 938]",16
FIN8,[],[],0
Fox Kitten,[],[],0
GALLIUM,[],[],0
Gallmaker,[],[],0
Gamaredon Group,[],[],0
GCMAN,[],[],0
GOLD SOUTHFIELD,[],[],0
Gorgon Group,[],[],0
Group5,[],[],0
HAFNIUM,[],"[129, 205, 258, 268, 272, 282, 337, 338, 530, 554, 558, 601, 676, 727, 777, 788]",16
HEXANE,[],[],0
Higaisa,[],[],0
Inception,[],[],0
IndigoZebra,[],[],0
Indrik Spider,[],[],0
Ke3chang,[],[],0
Kimsuky,[],[],0
LAPSUS$,[],[],0
Lazarus Group,[],[],0
LazyScripter,[],[],0
Leafminer,[],[],0
Leviathan,[176],[],1
Lotus Blossom,[],[],0
Machete,[],[],0
Magic Hound,[],[],0
menuPass,[],[],0
Moafee,[],[],0
Mofang,[],[],0
Molerats,[],[],0
Moses Staff,[],[],0
MuddyWater,[],[],0
Mustang Panda,[],[],0
Naikon,[],[],0
NEODYMIUM,[],[],0
Nomadic Octopus,[],[],0
OilRig,[],[],0
Orangeworm,[],"[137, 667]",2
Patchwork,[],[],0
PittyTiger,[],[],0
PLATINUM,[],[],0
POLONIUM,[],[],0
Poseidon Group,[],[],0
PROMETHIUM,[],[],0
Putter Panda,[],[],0
Rancor,[],[],0
Rocke,[],[],0
RTM,[],[],0
Sandworm Team,[],[],0
Scarlet Mimic,[],[],0
SideCopy,[],[],0
Sidewinder,[],[],0
Silence,[],[],0
Silent Librarian,[],[],0
SilverTerrier,[],[],0
Sowbug,[],[],0
Stealth Falcon,[],[],0
Strider,[],[],0
Suckfly,[],[],0
TA459,[],[],0
TA505,[],[],0
TA551,[],"[565, 566, 567]",3
TeamTNT,[],[449],1
TEMP.Veles,[],[],0
The White Company,[],[],0
Threat Group-1314,[],[],0
Threat Group-3390,[],[],0
Thrip,[],[],0
Tonto Team,[],[],0
Transparent Tribe,[],[],0
Tropic Trooper,[],[],0
Turla,[],[],0
Volatile Cedar,[],[],0
Whitefly,[],[],0
Windigo,[],[],0
Windshift,[],[],0
Winnti Group,[],[],0
WIRTE,[],[],0
Wizard Spider,[],[795],1
ZIRCONIUM,[],[],0
ACTINIUM,[],[],0
APT-C-00,[],[],0
APT-C-43,[],[],0
APT10,[],[],0
APT15,[],[],0
APT2,[176],[],2
APT27,[],[],0
APT31,[],[],0
APT34,[],[],0
APT35,[],[],0
APT36,[],[],0
APT40,[],[],0
AjaxTM,[],[],0
Anunak,[],[],0
Armageddon,[],[],0
BRONZE HUNTLEY,[],[],0
BRONZE MOHAWK,[],[],0
BRONZE PRESIDENT,[],[],0
BRONZE UNION,[],[],0
Bahamut,[],[],0
BeagleBoyz,[],[],0
Beijing Group,[],[],0
Belugasturgeon,[],[],0
Berserk Bear,[],[],0
Black Banshee,[],[],0
Black Vine,[],[],0
BlackEnergy (Group),[],[],0
Blackfly,[],[],0
Bleeding Bear,[],[],0
Blind Eagle,[],[],0
Bluenoroff,[],[],0
Buckeye,[],[],0
C0d0so0,[],[],0
COBALT DICKENS,[],[],0
COBALT GYPSY,[],[],0
COBALT ILLUSION,[],[],0
COPPER FIELDSTONE,[],[],0
CVNX,[],[],0
CactusPete,[],[],0
Carbon Spider,[],[],0
Chafer,[],[],0
Charming Kitten,[],[],0
Chinastrats,[],[],0
Cicada,[],[],0
Cloud Atlas,[],[],0
Cobalt Gang,[],[],0
Cobalt Spider,[],[],0
Codoso,[],[],0
Codoso Team,[],[],0
Comment Crew,[],[],0
Comment Group,[],[],0
Comment Panda,[],[],0
Confucius APT,[],[],0
Cozy Bear,[],[],0
CozyDuke,[],[],0
Crouching Yeti,[],[],0
DEV-0157,[],[],0
DEV-0537,[],[],0
DNSCALC,[],[],0
DRAGONFISH,[],[],0
DUBNIUM,[],[],0
DYMALLOY,[],[],0
Dark Halo,[],[],0
Deputy Dog,[],[],0
Dropping Elephant,[],[],0
DustSquad,[],[],0
DynCalc,[],[],0
Dynamite Panda,[],[],0
ELECTRUM,[],[],0
Earth Akhlut,[],[],0
Earth Smilodon,[],[],0
Earth Vetala,[],[],0
El Machete,[],[],0
Elderwood Gang,[],[],0
Elfin,[],[],0
Emissary Panda,[],[],0
Energetic Bear,[],[],0
Evil Corp,[],[],0
Fancy Bear,[],[],0
Flying Kitten,[],[],0
GOLD CABIN,[],[],0
GOLD KINGSWOOD,[],[],0
GOLD NIAGARA,[],[],0
GREF,[],[],0
Gadolinium,[],[],0
Gaza Cybergang,[],[],0
Gothic Panda,[],[],1
Grim Spider,[],[],0
Group 72,[],[],0
Group 74,[],[],0
Group 88,[],[],0
Group123,[],[],0
Guardians of Peace,[],[],0
HIDDEN COBRA,[],[],0
HOGFISH,[],[],0
HOLMIUM,[],[],0
Hangover Group,[],[],0
Helix Kitten,[],[],0
Hive0065,[],[],0
IRN2,[],[],0
IRON HEMLOCK,[],[],0
IRON HUNTER,[],[],0
IRON LIBERTY,[],[],0
IRON RITUAL,[],[],0
IRON TILDEN,[],[],0
IRON TWILIGHT,[],[],0
IRON VIKING,[],[],0
ITG07,[],[],0
ITG08,[],[],0
ITG14,[],[],0
ITG18,[],[],0
IXESHE,[],[],0
Inception Framework,[],[],0
InkySquid,[],[],0
Iron Tiger,[],[],0
Karma Panda,[],[],0
KeyBoy,[],[],0
Krypton,[],[],0
Kryptonite Panda,[],[],0
KungFu Kittens,[],[],0
Labyrinth Chollima,[],[],0
Lebanese Cedar,[],[],0
Lorec Bear,[],[],0
Lorec53,[],[],0
LuckyMouse,[],[],0
Lyceum,[],[],0
MERCURY,[],[],0
MONSOON,[],[],0
MSUpdater,[],[],0
MUDCARP,[],"[137, 601, 616, 727]",4
Magecart Group 6,[],[],0
Mirage,[],[],0
Mythic Leopard,[],[],0
NICKEL,[],[],0
NICKEL ACADEMY,[],[],0
NICKEL GLADSTONE,[],[],0
NOBELIUM,[],"[203, 271, 288, 529, 658, 663, 667, 691, 732, 795]",10
Newscaster,[],[],0
NobleBaron,[],[],0
Numbered Panda,[],[],0
OceanLotus,[],[],0
Operation Exchange Marauder,[],[],0
Operation Hangover,[],[],0
Operation Molerats,[],[],0
Operation Saffron Rose,[],[],0
Operation Soft Cell,[],[],0
Operation Woolen-Goldfish,[],[],0
POTASSIUM,[],[],0
Palmerworm,[],[],0
Palmetto Fusion,[],[],0
Parisite,[],[],0
Pawn Storm,[],[],0
Phosphorus,[],[],0
PinkPanther,[],[],0
Pioneer Kitten,[],[],0
Pirate Panda,[],[],0
Pirpi,[],[],0
Playful Dragon,[],[],0
Primitive Bear,[],[],0
ProjectM,[],[],0
ProjectSauron,[],[],0
Quedagh,[],[],0
REDBALDKNIGHT,[],[],0
Raspite,[],[],0
Rattlesnake,[],[],0
Reaper,[],[],0
Red Apollo,[],[],0
RedDelta,[],[],0
Remix Kitten,[],[],0
Richochet Chollima,[],[],0
Rocket Kitten,[],[],0
RoyalAPT,[],[],0
SNAKEMACKEREL,[],[],0
STOLEN PENCIL,[],[],0
STRONTIUM,[],[],0
Saint Bear,[],[],0
ScarCruft,[],[],0
SeaLotus,[],[],0
Sednit,[],[],0
Seedworm,[],[],0
Shathak,[],[],0
Shell Crew,[],[],0
Shuckworm,[],[],0
Siamesekitten,[],[],0
Silent Chollima,[],[],0
Skeleton Spider,[],[],0
Snake,[],[],0
Sneaky Panda,[],[],0
Sofacy,[],[],1
Spirlin,[],[],0
Spring Dragon,[],[],0
Stardust Chollima,[],[],0
Static Kitten,[],[],0
StellarParticle,[],[],0
Stone Panda,[],[],0
StrongPity,[],[],0
Sunshop Group,[],[],0
Swallowtail,[],[],0
T-APT-04,[],[],0
T-APT-17,[],[],0
TA407,[],[],0
TA416,[],[],0
TA453,[],[],0
TAG-22,[],[],0
TEMP.Isotope,[],[],0
TEMP.Jumper,[],[],0
TEMP.MixMaster,[],[],0
TEMP.Periscope,[],[],0
TEMP.Reaper,[],[],0
TEMP.Zagros,[],[],0
TG-0110,[],[],0
TG-0416,[],[],0
TG-1314,[],[],0
TG-2889,[],[],0
TG-3390,[],[],0
TG-4127,[],[],0
TG-4192,[],[],0
Telebots,[],[],0
Thallium,[],[],0
The Dukes,[],[],0
Threat Group 2889,[],[],0
Threat Group-0110,[],[],0
Threat Group-0416,[],[],0
Threat Group-4127,[],[],0
Tick,"[76, 101, 231, 237, 247, 255, 437, 477]","[264, 424, 427, 428, 531, 544, 578, 640, 743, 763, 782, 803, 810, 854, 883]",26
Tsar Team,[],[],0
UAC-0056,[],[],0
UNC1878,[],[],0
UNC2452,[],[],0
UNC2589,[],[],0
UNC757,[],[],0
UPS Team,[],[],0
Velvet Chollima,[],[],0
Venomous Bear,[],[],0
Vixen Panda,[],[],0
Voodoo Bear,[],[],0
Waterbug,[],[],0
WebMasters,[],[],0
Whisper Spider,[],[],0
WhiteBear,[],[],0
Wicked Panda,[],[],0
