software,e,s,total
3PARA RAT,[],[],0
4H RAT,[],[],0
AADInternals,[],[],0
ABK,[],[],0
ACAD/Medre.A,[],[],0
Action RAT,[],[],0
adbupd,[],[],0
AdFind,"[26, 27, 341, 342]",[795],20
Adups,[],[],0
ADVSTORESHELL,[],[],0
Agent Smith,[],[],0
Agent Tesla,[],[],0
Agent.btz,[],[],0
Allwinner,[],[],0
Amadey,[],[],0
Anchor,[],[],0
Android/AdDisplay.Ashas,[],[],0
Android/Chuli.A,[],[],0
AndroidOS/MalLocker.B,[],[],0
ANDROIDOS_ANSERVER.A,[],[],0
AndroRAT,[],[],0
Anubis,[],[],0
AppleJeus,[],[],0
AppleSeed,[],[],0
Aria-body,[],[],0
Arp,[],[548],1
Asacub,[],[],0
ASPXSpy,[],[],0
Astaroth,[],[],0
Attor,[],[],0
AuditCred,[],[],0
AuTo Stealer,[],[],0
AutoIt backdoor,[],[],0
Avaddon,[],[],0
Avenger,[],[],0
Azorult,[],"[199, 202, 209, 222, 228, 236, 292, 298, 299, 301, 302, 308, 311, 320, 350, 356, 357, 359, 360, 361, 367, 411, 412, 416, 549, 552, 557, 605, 616, 658, 667, 761, 796, 807, 809, 833, 841, 844, 859, 860, 861, 862, 863, 864, 865, 881, 896, 898, 899, 900, 901, 911, 919, 929]",54
Babuk,[],[],0
BabyShark,[],[],0
BackConfig,[],[],0
Backdoor.Oldrea,[],[],0
BACKSPACE,[],[],0
Bad Rabbit,[],[169],2
BADCALL,[],[],0
BADFLICK,[],[],0
BADNEWS,[],[],0
BadPatch,[181],[],1
Bandook,[],[],0
Bankshot,[],[],0
Bazar,[],[],0
BBK,[],[],0
BBSRAT,[],[],0
BendyBear,[],[],0
BISCUIT,[],[],0
Bisonal,[],[],0
BitPaymer,[],[],0
BITSAdmin,[],"[214, 565]",2
BLACKCOFFEE,[],[],0
BlackEnergy,[],[],0
BlackMould,[],[],0
BLINDINGCAN,[],[],0
BloodHound,[],"[251, 252, 289, 290, 291]",5
BLUELIGHT,[],[],0
Bonadan,[],[],0
BONDUPDATER,[],[],0
BoomBox,[],[],0
BOOSTWRITE,[],[],0
BOOTRASH,[],[],0
BoxCaon,[],[],0
BrainTest,[],[],0
Brave Prince,[],[],0
Bread,[],[],0
Briba,[],[],0
BS2005,[],[],0
BUBBLEWRAP,[],[],0
build_downer,[],[],0
Bumblebee,[],[],0
Bundlore,[],[],0
BusyGasper,[],[],0
Cachedump,[],[172],1
CaddyWiper,[],[],0
Cadelspy,[],[],0
CALENDAR,[],[],0
Calisto,[],[],0
CallMe,[],[],0
Cannon,[],[],0
Carbanak,[],[],0
Carberp,[],[],0
CarbonSteal,[],[],0
Cardinal RAT,[],[],0
CARROTBALL,[],[],0
CARROTBAT,[],[],0
Catchamas,[],[],0
Caterpillar WebShell,[],[],0
CCBkdr,[],[],0
ccf32,[],[],0
Cerberus,[],[],0
certutil,"[211, 218, 323, 376, 395, 396]","[176, 208, 216, 217, 218, 219, 566, 709, 715, 716, 717, 723, 934]",25
Chaes,[],[],0
Chaos,[],[],0
Charger,[],[],0
CharmPower,[],[],0
ChChes,[],[],0
CHEMISTGAMES,[],[],0
Cherry Picker,[],[],0
China Chopper,[],[],0
Chinoxy,[],[],0
CHOPSTICK,[],[],0
Chrommme,[],[],0
Circles,[],[],0
Clambling,[],[],0
Clop,[],"[225, 226, 232, 233, 249, 414, 607, 611, 636, 707, 711, 739, 765, 828, 837, 906]",16
CloudDuke,[],[],0
Cobalt Strike,"[175, 176]","[203, 229, 231, 280, 323, 410, 594, 650, 670, 674, 691, 737, 740, 745, 747, 748, 759, 760, 762, 880]",40
Cobian RAT,[],[],0
CoinTicker,[],[],0
Comnie,[],[],0
ComRAT,[],[],0
Concipit1248,[],[],0
Conficker,[],[],0
ConnectWise,[],[],1
Conti,"[18, 26, 27]",[234],4
CookieMiner,[],[],0
CORALDECK,[],[],0
CORESHELL,[],[],0
Corona Updates,[],[],0
CosmicDuke,[],[],0
CostaBricks,[],[],0
CozyCar,[],[],0
CrackMapExec,[250],[],2
CreepyDrive,[],[],0
CreepySnail,[],[],0
Crimson,[],[],0
CrossRAT,[],[],0
Crutch,[],[],0
Cryptoistic,[],[],0
CSPY Downloader,[],[],0
Cuba,[],[],0
Cyclops Blink,[],[],0
Dacls,[],[],0
DanBot,[],[],0
DarkComet,[],[],3
DarkWatchman,[],[],0
Daserf,[],[],1
DCSrv,[],[],0
DDKONG,[],[],0
DealersChoice,[],[],0
DEATHRANSOM,[],[],0
DEFENSOR ID,[],[],0
Dendroid,[],[],0
Denis,[],[],0
Derusbi,[],[],0
Desert Scorpion,[],[],0
Diavol,[],[],0
Dipsind,[],[],0
DnsSystem,[],[],0
DOGCALL,[],[],0
Dok,[],[],0
Doki,[],[],0
Donut,[],[],0
DoubleAgent,[],[],0
down_new,[],[],0
Downdelph,[],[],0
DownPaper,[],[],0
DRATzarus,[],[],0
DressCode,[],[],0
Dridex,"[26, 27]",[],3
DroidJack,[],[],0
DropBook,[],[],0
Drovorub,[],[],0
dsquery,"[363, 376, 395, 396]","[325, 331, 336, 390, 632]",12
Dtrack,[],[],0
DualToy,[],[],0
Duqu,[],[],0
DustySky,[],[],0
Dvmap,[],[],0
Dyre,[],[],0
Ebury,[],[],0
ECCENTRICBANDWAGON,[],[],0
Ecipekac,[],[],0
Egregor,[],[],0
EKANS,[],[],0
Elise,[],[],0
ELMER,[],[],0
Emissary,[],[],0
Emotet,[],"[166, 292, 616]",5
Empire,"[76, 80, 208, 242, 247, 313, 348, 482]","[255, 594, 780]",13
EnvyScout,[],[],0
Epic,[],[],0
esentutl,"[228, 350]","[176, 345, 709, 723]",10
eSurv,[],[],0
EventBot,[],[],0
EvilBunny,[],[],0
EvilGrab,[],[],0
EVILNUM,[],[],0
Exaramel for Linux,[],[],0
Exaramel for Windows,[],[],0
Exobot,[],[],0
Exodus,[],[],0
Expand,[],"[181, 577]",4
Explosive,[],[],0
FakeM,[],[],0
FakeSpy,[],[],0
FALLCHILL,[],[],0
FatDuke,[],[],0
Felismus,[],[],0
FELIXROOT,[],[],0
Ferocious,[],[],0
Fgdump,[],[172],1
Final1stspy,[],[],0
FinFisher,[],[],0
FIVEHANDS,[],[],0
Flagpro,[],[],0
Flame,[],[],0
FLASHFLOOD,[],[],0
FlawedAmmyy,[],[],0
FlawedGrace,[],[],0
FlexiSpy,[],[],0
FLIPSIDE,[],[],0
FoggyWeb,[],[],0
Forfiles,[],"[532, 675, 767, 931, 935]",6
FrameworkPOS,[],[],0
FrozenCell,[],[],0
FruitFly,[],[],0
ftp,"[56, 62, 376, 395, 396, 442]","[176, 273, 699, 709, 723, 844]",19
FunnyDream,[],[],0
FYAnti,[],[],0
Fysbis,[],[],0
Gazer,[],[],0
Gelsemium,[],[],0
GeminiDuke,[],[],0
Get2,[],[],0
gh0st RAT,[],[],0
Ginp,[],[],0
GLOOXMAIL,[],[],0
Gold Dragon,[],[],0
Golden Cup,[],[],0
GoldenEagle,[],[],0
GoldenSpy,[],[],0
GoldFinder,[],[],0
GoldMax,[],[],0
GolfSpy,[],[],0
Gooligan,[],[],0
Goopy,[],[],0
GPlayed,[],[],0
Grandoreiro,[],[],0
GravityRAT,[],[],0
Green Lambert,[],[],0
GreyEnergy,[],[],0
GRIFFON,[],[],0
GrimAgent,[],[],0
gsecdump,[],[],0
GuLoader,[],[],0
Gustuff,[],[],0
H1N1,[],[],0
Hacking Team UEFI Rootkit,[],[],0
HALFBAKED,[],[],0
HAMMERTOSS,[],[],0
Hancitor,[],[],3
HAPPYWORK,[],[],0
HARDRAIN,[],[],0
Havij,[],[],0
HAWKBALL,[],[],0
hcdLoader,[],[],0
HDoor,[],[],0
HELLOKITTY,[],[],0
Helminth,[],[],0
HenBox,[],[],0
